,原保险保费收入,原保险保费收入_财产险,原保险保费收入_人身险,原保险保费收入_人身险_寿险,原保险保费收入_人身险_健康险,原保险保费收入_人身险_人身意外伤害险,原保险赔付支出,原保险赔付支出_财产险,原保险赔付支出_人身险,原保险赔付支出_人身险_寿险,原保险赔付支出_人身险_健康险,原保险赔付支出_人身险_人身意外伤害险,业务及管理费,银行存款,投资,资产总额,date
47,12433874.199999988,5259289.5,7174584.699999988,6237227.399999991,681863.5999999996,255493.7000000002,5010757.8999999985,3494482.0999999978,1516275.8000000007,1076505.2000000011,327455.6000000001,112315.09999999998,2839088.0,21968934.900000006,23444178.699999988,43293753.600000024,2012-12-01
48,20118667.0,6115067.7,14003599.2,12546140.9,1056794.0,400664.4,5009201.5,2805036.3,2204165.3,1751672.3,357741.6,94751.4,1854213.1,218648385.1,460888293.2,736149331.1,2013-01-01
49,13822570.299999997,3394375.499999999,10428194.900000002,9441461.700000001,758952.5,227780.59999999998,4468728.1,1944189.2000000002,2524538.8,2238238.8,218737.30000000005,67562.70000000001,1655068.9,-1494864.599999994,4550883.699999988,4359797.600000024,2013-02-01
50,17564661.800000004,5618523.0,11946138.799999997,10253785.599999998,1132672.2999999998,559681.0,5401262.6,2547832.7,2853429.9000000004,2447233.3000000003,316267.6,89929.0,1946738.0,22768436.400000006,3314939.4000000358,26355512.099999905,2013-03-01
51,13161470.899999999,5303144.400000002,7858326.5,6694350.599999998,764610.3000000003,399365.5,5054225.400000002,2537695.3999999994,2516530.0,2119275.6999999993,313847.80000000005,83406.49999999997,1889137.0,-19134508.800000012,8215542.199999988,-10503065.299999952,2013-04-01
52,12771479.700000003,4999015.299999997,7772464.3000000045,6552970.6000000015,832906.8999999999,386586.80000000005,4868026.8999999985,2663960.5999999996,2204066.3000000007,1798779.0,322458.80000000005,82828.5,1903553.4000000004,-1084946.7999999821,12313449.899999976,11335172.0,2013-05-01
53,17685149.39999999,5836522.6000000015,11848626.899999999,10077072.0,1318803.0,452751.90000000014,4824153.0,2443921.0,2380232.0,2021478.7000000011,283862.7999999998,74890.5,2058353.4000000004,14347655.799999982,4959389.300000012,20700153.299999952,2013-06-01
54,11971349.200000003,4817723.5,7153625.6999999955,6013719.200000003,792969.2999999998,346937.1999999997,5058761.1000000015,2834104.9000000022,2224656.1999999993,1773350.0,356874.8000000003,94431.40000000002,1956102.5,-11016660.0,4234870.0,-5802628.0,2013-07-01
55,12331631.700000003,4778824.700000003,7552806.900000006,6431721.999999993,766832.7999999998,354252.2000000002,5113334.5,2839310.0999999978,2274024.5,1860693.1999999993,316148.7999999998,97182.40000000002,1891689.5,-1611469.599999994,7165414.699999988,7994969.8000000715,2013-08-01
56,14899115.300000012,5349335.599999994,9549779.799999997,7882811.400000006,1150871.9000000004,516096.3999999999,5289990.5,2904496.6999999993,2385493.6999999993,1950832.1000000015,340297.0,94364.69999999995,2116410.3999999985,7364232.300000012,7159654.900000036,14711004.699999928,2013-09-01
57,11990154.5,4509256.5,7480898.0,6294120.799999997,832747.5,354029.7999999998,4674199.1999999955,2761165.5,1913033.6999999993,1502207.1999999993,330109.3999999999,80717.20000000007,1924156.1999999993,-10951333.600000024,6177289.099999964,-6671330.1999999285,2013-10-01
58,12547565.899999976,5127749.3000000045,7419816.599999994,6283304.799999997,808570.4000000004,327941.2999999998,5695445.6000000015,3680472.8000000007,2014972.9000000022,1506738.8999999985,406140.2000000002,102093.59999999998,2218115.6000000015,283407.5,9733031.300000012,10407697.899999976,2013-11-01
59,13358559.5,6273039.6999999955,7085519.800000012,5779954.600000009,1018229.5999999996,287335.7000000002,6671701.8999999985,4429193.900000002,2242507.8999999985,1560830.1999999993,548785.0,132892.79999999993,3182326.3999999985,8291438.600000024,13611533.900000036,19832841.0,2013-12-01
60,33673843.8,7401734.0,26272109.8,23858604.1,1916172.8,497332.9,7042095.0,3568792.6,3473302.3,2791568.6,560300.1,121433.6,2149409.7,219879293.4,552780276.1,838653761.9,2014-01-01
61,16748731.200000003,3781602.0,12967129.2,11437703.899999999,1232435.0999999999,296990.19999999995,5044055.1,1842253.6,3201801.6000000006,2807077.4,317454.80000000005,77269.4,1770829.7999999998,4392048.0,6658414.799999952,11792584.0,2014-02-01
62,19575232.900000006,6386739.8999999985,13188493.0,10777654.899999999,1769191.6999999997,641646.4,6506473.9,2930415.3999999994,3576058.5,3029152.0,454493.9,92412.59999999998,2207283.9000000004,26040501.299999982,12532772.899999976,44141044.0,2014-03-01
63,13615892.0,6120348.700000003,7495543.299999997,5922053.6000000015,1087115.5,486374.30000000005,5645516.199999999,2925156.0999999996,2720360.0,2167092.0999999996,436299.8999999999,116968.10000000003,2098960.8,-19297958.599999994,12913544.300000072,-4487906.799999952,2014-04-01
64,14043033.799999997,5826561.299999997,8216472.600000009,6559301.1000000015,1213119.3000000007,444051.99999999977,5350554.1000000015,2897141.6000000015,2453412.5999999996,1957624.5,404081.59999999986,91706.29999999999,2076973.499999999,2282700.200000018,10890259.899999976,14282413.5,2014-05-01
65,17230416.299999997,6711602.8999999985,10518813.299999997,8317267.299999997,1711190.7999999989,490355.4000000004,5727489.599999998,2967959.0,2759530.5,2262701.200000001,403867.9000000004,92961.5,2380802.9000000004,22888019.399999976,7106507.5,32989604.69999993,2014-06-01
66,13427686.200000003,5749055.700000003,7678630.5,6150139.3999999985,1121089.1000000015,407402.0,5574494.0,3149065.5,2425428.6000000015,1838490.5,475327.7999999998,111610.30000000005,2072123.0999999996,-17156472.099999994,10254698.600000024,-4862014.099999905,2014-07-01
67,14283219.299999997,5436484.799999997,8846734.399999991,7364361.400000006,1076844.0,405528.8999999999,5500133.8000000045,2975932.3000000007,2524201.5,1963338.0,448775.2000000002,112088.29999999993,2161445.9000000022,1185632.900000006,4773117.399999976,15741009.799999952,2014-08-01
68,16743691.400000006,6004515.1000000015,10739176.5,8645241.599999994,1476477.5999999996,617457.3000000003,5986429.299999997,3159816.5999999978,2826612.6999999993,2234528.6999999993,477674.6999999997,114409.20000000007,2471682.3999999985,10736563.199999988,7905766.600000024,12507377.200000048,2014-09-01
69,13673239.900000006,5275056.8000000045,8398183.0,6922819.200000003,1061961.6999999993,413402.0999999996,5446438.3999999985,2955483.4000000022,2490955.0,1956338.1999999993,442015.1999999997,92601.79999999993,2175571.3000000007,-4523536.599999994,7866512.799999952,4012953.1999999285,2014-10-01
70,14132581.099999994,5827183.1999999955,8305397.900000006,6842799.599999994,1094148.2000000011,368450.0999999996,6412586.8000000045,3617834.0,2794752.8000000007,2154481.9000000022,532005.5,108265.29999999993,2426569.3000000007,2640465.400000006,12038741.100000024,18418153.600000024,2014-11-01
71,15200537.900000006,7512876.6999999955,7687661.200000003,6218953.700000003,1112039.8999999985,356667.60000000056,7925858.399999991,4892274.6000000015,3033583.799999997,2121874.0999999978,759255.3000000007,152454.40000000014,3966271.3999999985,3267136.800000012,24253505.799999952,32725732.0,2014-12-01
72,40055628.5,8423604.7,31632023.7,28538605.8,2499828.9,593589.1,7943527.9,3375350.1,4568177.8,3794976.5,654519.6,118681.7,2271753.5,250874861.9,692277747.6,1038122680.0,2015-01-01
154,20065277.0,6038074.566666666,14027202.433333334,11635740.599999998,1866662.766666667,524799.0666666665,7240141.833333334,2995601.8666666667,4244539.966666666,3602920.0,533467.6,108152.36666666665,2379058.633333333,1158524.5,19125643.066666603,21517928.0,2015-02-01
153,20065277.0,6038074.566666666,14027202.43333333,11635740.600000001,1866662.7666666666,524799.0666666664,7240141.833333332,2995601.866666667,4244539.966666665,3602920.0,533467.5999999999,108152.36666666664,2379058.633333334,1158524.5,19125643.066666722,21517928.0,2015-03-01
73,20065277.0,6038074.566666666,14027202.433333337,11635740.600000001,1866662.7666666666,524799.0666666669,7240141.833333332,2995601.8666666653,4244539.966666669,3602920.0,533467.6000000001,108152.3666666667,2379058.633333334,1158524.5,19125643.066666603,21517928.0,2015-04-01
74,16412603.799999997,6360596.1000000015,10052007.799999997,7571718.1999999955,1966589.2999999998,513700.2000000002,6100892.5,3102166.0,2998726.5,2373701.8999999985,514708.3999999999,110316.29999999999,2477493.0,528074.1999999881,26014537.5,28324957.0,2015-05-01
75,20361230.89999999,7280197.200000003,13081033.700000003,10082098.100000009,2392376.6999999993,606559.0,6276311.3999999985,2878991.6000000015,3397319.8000000007,2744202.9000000022,536957.3000000003,116159.5,3038270.9000000004,13030255.700000018,-6733093.599999905,11967730.0,2015-06-01
76,16812291.700000018,6340686.1999999955,10471605.5,8284641.599999994,1681603.5,505360.3999999999,6830543.900000006,3563461.8000000007,3267082.1999999993,2467745.3000000007,643853.5,155483.40000000002,2544803.1999999993,-13626906.800000012,-5909427.400000095,-20028077.0,2015-07-01
77,16629054.099999994,5899434.200000003,10729619.900000006,8399421.0,1858192.4000000004,472006.3999999999,6701086.599999994,3417291.6999999993,3283794.6999999993,2551143.0999999978,598468.1999999997,134183.5,2614252.3999999985,-4274550.599999994,6044674.200000048,4295294.0,2015-08-01
78,19938559.400000006,6690706.1999999955,13247853.099999994,10167135.900000006,2368536.200000001,712181.1000000006,7032639.3000000045,3597849.6999999993,3434789.6000000015,2687398.8000000007,613987.2000000002,133403.5,2952056.9000000022,4239220.699999988,16028988.799999952,30559614.0,2015-09-01
79,16666044.5,5947122.0,10718922.5,8319833.799999997,1905378.3999999985,493710.19999999925,6690297.1000000015,3225488.6999999993,3464808.5,2723463.0,629886.7000000002,111458.80000000005,2688843.8000000007,-12355566.699999988,33625040.30000007,25617514.0,2015-10-01
80,16895220.400000006,6429910.600000009,10465310.0,8105743.799999997,1923526.9000000022,436039.30000000075,7932025.399999991,4099542.9000000022,3832482.5,2922947.3999999985,776687.0999999996,132848.09999999986,3083802.6999999993,10999247.900000006,13762395.899999976,24528984.0,2015-11-01
